ヸ	5	\N	\Nt\N
ヹ	0	\N	\Nt\N
ヹ	1	\N	\Nt\N
ヹ	2	\N	\Nt\N
ヹ	3	\N	\Nt\N
ヹ	4	\N	\Nt\N
ヺ	0	\N	\Nt\N
ヺ	1	\N	\Nt\N
ヺ	2	\N	\Nt\N
ヺ	3	\N	\Nt\N
ヺ	4	\N	\Nt\N
・	0	\N	\Nt\N
ー	0	\N	\Nt\N
ヽ	0	\N	\Nt\N
ヾ	0	\N	\Nt\N
ヾ	1	\N	\Nt\N
ヾ	2	\N	\Nt\N
㐬	0	㇑	U+31D1	CJK STROKE S
㐬	1	㇐	U+31D0	CJK STROKE H
㐬	2	㇜	U+31DC	CJK STROKE PZ
㐬	3	㇔	U+31D4	CJK STROKE D
㐬	4	㇒	U+31D2	CJK STROKE P
㐬	5	㇑	U+31D1	CJK STROKE S
㐬	6	㇟	U+31DF	CJK STROKE SWG
㓁	0	㇔	U+31D4	CJK STROKE D
㓁	1	㇖	U+31D6	CJK STROKE HG
㓁	2	㇒	U+31D2	CJK STROKE P
㓁	3	㇟	U+31DF	CJK STROKE SWG
㔾	0	㇆	U+31C6	CJK STROKE HZG
㔾	1	㇟	U+31DF	CJK STROKE SWG
一	0	㇐	U+31D0	CJK STROKE H
丁	0	㇐	U+31D0	CJK STROKE H
丁	1	㇚	U+31DA	CJK STROKE SG
七	0	㇐	U+31D0	CJK STROKE H
七	1	㇄	U+31C4	CJK STROKE SW
万	0	㇐	U+31D0	CJK STROKE H
万	1	㇆	U+31C6	CJK STROKE HZG
万	2	㇒	U+31D2	CJK STROKE P
丈	0	㇐	U+31D0	CJK STROKE H
丈	1	㇒	U+31D2	CJK STROKE P
丈	2	㇏	U+31CF	CJK STROKE N
三	0	㇐	U+31D0	CJK STROKE H
三	1	㇐	U+31D0	CJK STROKE H
三	2	㇐	U+31D0	CJK STROKE H
上	0	㇑	U+31D1	CJK STROKE S
上	1	㇐	U+31D0	CJK STROKE H
上	2	㇐	U+31D0	CJK STROKE H
下	0	㇐	U+31D0	CJK STROKE H
下	1	㇑	U+31D1	CJK STROKE S
下	2	㇔	U+31D4	CJK STROKE D
不	0	㇐	U+31D0	CJK STROKE H
不	1	㇒	U+31D2	CJK STROKE P
不	2	㇑	U+31D1	CJK STROKE S
不	3	㇔	U+31D4	CJK STROKE D
与	0	㇐	U+31D0	CJK STROKE H
与	1	㇉	U+31C9	CJK STROKE SZWG
与	2	㇐	U+31D0	CJK STROKE H
丐	0	㇐	U+31D0	CJK STROKE H
丐	1	㇑	U+31D1	CJK STROKE S
丐	2	㇐	U+31D0	CJK STROKE H
丐	3	㇉	U+31C9	CJK STROKE SZWG
丑	0	㇕	U+31D5	CJK STROKE HZ
丑	1	㇑	U+31D1	CJK STROKE S
丑	2	㇐	U+31D0	CJK STROKE H
丑	3	㇐	U+31D0	CJK STROKE H
且	0	㇑	U+31D1	CJK STROKE S
且	1	㇕	U+31D5	CJK STROKE HZ
且	2	㇐	U+31D0	CJK STROKE H
